time,open,high,low,close,Plot,Plot,Plot,Plot,Chars,Chars,Chars,Chars,Chars,Chars,Chars
2025-10-20T07:15:00-04:00,1.16534,1.16543,1.165074,1.165225,1.1659592222255686,1.1663402480217488,1.1667903054730369,1.1667150373077442,0,0,0,0,0,0,0
2025-10-20T07:30:00-04:00,1.165225,1.165244,1.164455,1.16465,1.165834534394562,1.1662739637856019,1.1667479231864422,1.1666944896728413,0,0,0,0,0,0,0
2025-10-20T07:45:00-04:00,1.16465,1.16566,1.16459,1.16566,1.1658179120712704,1.1662498867744018,1.1667263801530472,1.1666841962432608,0,0,0,0,0,0,0
2025-10-20T08:00:00-04:00,1.16566,1.16584,1.16544,1.16584,1.1658200156835303,1.1662338127832488,1.1667088280708087,1.1666757962806413,0,0,0,0,0,0,0
2025-10-20T08:15:00-04:00,1.16584,1.16604,1.16546,1.16547,1.1657866808565274,1.1662038593407684,1.1666842968218818,1.1666637983076997,0,0,0,0,0,0,0
2025-10-20T08:30:00-04:00,1.16547,1.16574,1.165235,1.165525,1.1657617588701914,1.1661772374058363,1.1666613404491712,1.166652466981255,0,0,0,0,0,0,0
2025-10-20T08:45:00-04:00,1.165525,1.16577,1.16503,1.16535,1.165722543739697,1.1661447967232546,1.166635373311564,1.1666395071107947,0,0,0,0,0,0,0
2025-10-20T09:00:00-04:00,1.16535,1.16546,1.16485,1.16508,1.1656613490978212,1.1661030399890093,1.166604573840048,1.1666239896271051,0,0,0,0,0,0,0
2025-10-20T09:15:00-04:00,1.16508,1.16527,1.164669,1.16526,1.165623125374219,1.1660699795972835,1.1665779486154926,1.1666104175910146,0,0,0,0,0,0,0
2025-10-20T09:30:00-04:00,1.16526,1.16534,1.164634,1.16503,1.165566637243341,1.1660291960836646,1.166547296167661,1.1665946920428454,0,0,0,0,0,0,0
2025-10-20T09:45:00-04:00,1.16503,1.16515,1.16465,1.16491,1.1655041003630229,1.165985306041168,1.1665148744613707,1.1665779289379414,0,0,0,0,0,0,0
2025-10-20T10:00:00-04:00,1.16491,1.165505,1.164755,1.165449,1.1654988527094017,1.1659642744317105,1.1664937680363932,1.166566695814181,0,0,0,0,0,0,0
2025-10-20T10:15:00-04:00,1.165449,1.16598,1.16542,1.1659,1.1655370572132682,1.165961753865761,1.1664820102534943,1.1665600620249852,0,0,0,0,0,0,0
2025-10-20T10:30:00-04:00,1.1659,1.166435,1.165789,1.166089,1.165589623192957,1.165966743910241,1.166474227872237,1.166555374840657,0,0,0,0,0,0,0
2025-10-20T10:45:00-04:00,1.166089,1.16624,1.16533,1.165379,1.1655695638412469,1.1659436951294473,1.1664525401915988,1.166543669618362,0,0,0,0,0,0,0
