UTC,Open,High,Low,Close,Volume
01.10.2025 00:00:00.000 UTC,1.17342,1.17342,1.17296,1.17319,661.75
01.10.2025 00:15:00.000 UTC,1.17323,1.17382,1.17322,1.17348,532.6100000000001
01.10.2025 00:30:00.000 UTC,1.17344,1.17354,1.17308,1.17322,552.9599999999999
01.10.2025 00:45:00.000 UTC,1.17322,1.17368,1.17319,1.17357,473.15000000000003
01.10.2025 01:00:00.000 UTC,1.1736,1.17366,1.17302,1.17341,790.89
01.10.2025 01:15:00.000 UTC,1.17343,1.17384,1.17341,1.17377,264.63
01.10.2025 01:30:00.000 UTC,1.17379,1.17406,1.17365,1.17405,489.24000000000007
01.10.2025 01:45:00.000 UTC,1.17406,1.17406,1.17357,1.17389,367.42
01.10.2025 02:00:00.000 UTC,1.17393,1.17394,1.17326,1.17328,364.25
01.10.2025 02:15:00.000 UTC,1.17327,1.17358,1.17326,1.17335,279.68
01.10.2025 02:30:00.000 UTC,1.17334,1.17356,1.17322,1.17351,406.09000000000003
01.10.2025 02:45:00.000 UTC,1.17352,1.17395,1.17349,1.17378,347.14
01.10.2025 03:00:00.000 UTC,1.17378,1.1739,1.17367,1.17377,485.53000000000003
01.10.2025 03:15:00.000 UTC,1.17378,1.17378,1.17356,1.17373,288.51
01.10.2025 03:30:00.000 UTC,1.17372,1.17373,1.17338,1.17356,211.02
01.10.2025 03:45:00.000 UTC,1.17356,1.17387,1.17354,1.17378,338.58000000000004
01.10.2025 04:00:00.000 UTC,1.17381,1.17425,1.17379,1.17414,426.6
01.10.2025 04:15:00.000 UTC,1.17416,1.1745,1.17416,1.17448,467.81999999999994
01.10.2025 04:30:00.000 UTC,1.17447,1.17488,1.17447,1.17486,348.04
01.10.2025 04:45:00.000 UTC,1.17485,1.17585,1.17484,1.17579,737.53
01.10.2025 05:00:00.000 UTC,1.17578,1.17669,1.17557,1.17587,1503.98
01.10.2025 05:15:00.000 UTC,1.17589,1.17634,1.17572,1.17601,923.28
01.10.2025 05:30:00.000 UTC,1.176,1.17607,1.17566,1.1757,436.6700000000001
01.10.2025 05:45:00.000 UTC,1.17572,1.17574,1.1752,1.17521,940.81
01.10.2025 06:00:00.000 UTC,1.17523,1.17599,1.17505,1.17572,974.54
01.10.2025 06:15:00.000 UTC,1.1757,1.17593,1.17531,1.17587,1081.1200000000001
01.10.2025 06:30:00.000 UTC,1.17588,1.17748,1.17575,1.17719,1534.99
01.10.2025 06:45:00.000 UTC,1.17718,1.17733,1.17659,1.17678,1955.2200000000003
01.10.2025 07:00:00.000 UTC,1.17676,1.17785,1.17675,1.17765,2052.21
01.10.2025 07:15:00.000 UTC,1.17764,1.17775,1.17535,1.17535,2416.6499999999996
01.10.2025 07:30:00.000 UTC,1.17534,1.17578,1.17418,1.17426,2669.44
01.10.2025 07:45:00.000 UTC,1.17426,1.17566,1.17422,1.17498,2656.3700000000003
01.10.2025 08:00:00.000 UTC,1.17497,1.17629,1.17497,1.17524,2311.83
01.10.2025 08:15:00.000 UTC,1.17525,1.17594,1.17521,1.17557,1991.08
01.10.2025 08:30:00.000 UTC,1.17556,1.17659,1.17534,1.17582,1562.1499999999996
01.10.2025 08:45:00.000 UTC,1.17583,1.17598,1.17492,1.17492,1080.17
01.10.2025 09:00:00.000 UTC,1.17493,1.1754,1.17462,1.17513,1137.3
01.10.2025 09:15:00.000 UTC,1.17513,1.17518,1.1743,1.17434,1155.0900000000001
01.10.2025 09:30:00.000 UTC,1.17434,1.17449,1.17401,1.17424,1095.01
01.10.2025 09:45:00.000 UTC,1.17422,1.17422,1.17306,1.17326,1382.48
01.10.2025 10:00:00.000 UTC,1.17326,1.17333,1.17255,1.17302,1493.6000000000001
01.10.2025 10:15:00.000 UTC,1.17298,1.17302,1.1717,1.17176,2060.1099999999997
01.10.2025 10:30:00.000 UTC,1.17178,1.17262,1.17157,1.17253,1327.7900000000002
01.10.2025 10:45:00.000 UTC,1.17253,1.17302,1.17203,1.17251,1315.24
01.10.2025 11:00:00.000 UTC,1.17252,1.17308,1.17251,1.17306,977.6500000000001
01.10.2025 11:15:00.000 UTC,1.17307,1.17361,1.17307,1.17353,818.52
01.10.2025 11:30:00.000 UTC,1.17352,1.17388,1.17321,1.17378,1015.49
01.10.2025 11:45:00.000 UTC,1.1738,1.17402,1.17331,1.17343,1298.6100000000001
01.10.2025 12:00:00.000 UTC,1.17343,1.17353,1.1723,1.17237,2178.17
01.10.2025 12:15:00.000 UTC,1.17237,1.17688,1.17222,1.17516,8090.75
01.10.2025 12:30:00.000 UTC,1.17517,1.1764,1.17434,1.17539,5535.9000000000015
01.10.2025 12:45:00.000 UTC,1.1754,1.17604,1.17434,1.17489,3203.9199999999996
01.10.2025 13:00:00.000 UTC,1.1749,1.17604,1.17459,1.17537,2914.7100000000005
01.10.2025 13:15:00.000 UTC,1.17535,1.17584,1.17479,1.17536,2458.8300000000004
01.10.2025 13:30:00.000 UTC,1.17534,1.17609,1.17525,1.17591,2707.9500000000003
01.10.2025 13:45:00.000 UTC,1.17593,1.17614,1.17498,1.17539,3387.8499999999995
01.10.2025 14:00:00.000 UTC,1.17539,1.17634,1.17405,1.17414,4204.150000000001
01.10.2025 14:15:00.000 UTC,1.17414,1.17492,1.17345,1.17475,2724.7299999999996
01.10.2025 14:30:00.000 UTC,1.17478,1.17548,1.17466,1.17522,2292.2999999999997
01.10.2025 14:45:00.000 UTC,1.17521,1.17564,1.17309,1.17465,7070.5
01.10.2025 15:00:00.000 UTC,1.17463,1.17492,1.17339,1.17364,2881.68
01.10.2025 15:15:00.000 UTC,1.17366,1.17372,1.17212,1.17259,2107.98
01.10.2025 15:30:00.000 UTC,1.17258,1.17353,1.17236,1.17293,3030.73
01.10.2025 15:45:00.000 UTC,1.17293,1.17314,1.17222,1.17229,2757.11
01.10.2025 16:00:00.000 UTC,1.17228,1.17267,1.17163,1.17214,3186.3700000000003
01.10.2025 16:15:00.000 UTC,1.17212,1.17255,1.17204,1.17226,2122.62
01.10.2025 16:30:00.000 UTC,1.17226,1.17231,1.17154,1.17157,2200.0199999999995
01.10.2025 16:45:00.000 UTC,1.17156,1.17243,1.17154,1.17227,1769.29
01.10.2025 17:00:00.000 UTC,1.17228,1.17288,1.17227,1.17285,1250.25
01.10.2025 17:15:00.000 UTC,1.17284,1.17325,1.17274,1.17306,1353.6699999999998
01.10.2025 17:30:00.000 UTC,1.17306,1.17307,1.17243,1.17254,1454.2699999999998
01.10.2025 17:45:00.000 UTC,1.17255,1.17282,1.17231,1.17237,835.1499999999999
01.10.2025 18:00:00.000 UTC,1.17238,1.17338,1.17215,1.17335,872.0299999999997
01.10.2025 18:15:00.000 UTC,1.17332,1.17381,1.17328,1.17379,874.3100000000001
01.10.2025 18:30:00.000 UTC,1.17377,1.17419,1.17369,1.17383,1608.0099999999998
01.10.2025 18:45:00.000 UTC,1.17383,1.17403,1.17347,1.17347,845.02
01.10.2025 19:00:00.000 UTC,1.17347,1.17369,1.17325,1.17345,537.61
01.10.2025 19:15:00.000 UTC,1.17346,1.17346,1.17309,1.17332,1042.13
01.10.2025 19:30:00.000 UTC,1.17334,1.17356,1.17324,1.17335,729.9700000000001
01.10.2025 19:45:00.000 UTC,1.17335,1.17352,1.17296,1.17304,969.3399999999999
01.10.2025 20:00:00.000 UTC,1.17303,1.1731,1.17277,1.1728,808.11
01.10.2025 20:15:00.000 UTC,1.1728,1.17295,1.17261,1.17264,377.02000000000004
01.10.2025 20:30:00.000 UTC,1.17264,1.17294,1.17262,1.17285,520.87
01.10.2025 20:45:00.000 UTC,1.17285,1.17307,1.17267,1.17294,1334.0900000000001
01.10.2025 21:02:00.000 UTC,1.17268,1.17292,1.17268,1.17281,135.66
01.10.2025 21:15:00.000 UTC,1.1728,1.17289,1.17274,1.17279,174.84
